"","customer.ID","gender","age","educaton","marital.status","income","dependent.count","card.category","months.on.book","relationship.count","months.inactive","contacts.count.12","credit.limit","revolving.balance","open.to.buy","transaction.amount.Q4.Q1","transaction.amount.12","transaction.count","transaction.change","utilization.ratio","churn"
"27",720466383,"male",59,"highschool","unknown","40K-60K",1,"Blue",46,4,1,2,14784,1374,13410,0.921,1197,23,1.3,0.093,"no"
"28",804424383,"male",63,"unknown","married","60K-80K",1,"Blue",56,3,3,2,10215,1010,9205,0.843,1904,40,1,0.099,"no"
"29",718813833,"female",44,"uneducated","single","unknown",3,"Blue",34,5,2,2,10100,0,10100,0.525,1052,18,1.571,0,"no"
"30",806624208,"male",47,"highschool","married","40K-60K",4,"Blue",42,6,0,0,4785,1362,3423,0.739,1045,38,0.9,0.285,"no"
"31",778348233,"male",53,"unknown","married","80K-120K",3,"Blue",33,3,2,3,2753,1811,942,0.977,1038,25,2.571,0.658,"no"
"32",712991808,"male",53,"uneducated","married","60K-80K",2,"Blue",48,2,5,1,2451,1690,761,1.323,1596,26,1.6,0.69,"no"
"33",709029408,"male",41,"graduate","married","60K-80K",4,"Blue",36,4,1,2,8923,2517,6406,1.726,1589,24,1.667,0.282,"no"
"34",788658483,"female",53,"college","married","<40K",2,"Blue",38,5,2,3,2650,1490,1160,1.75,1411,28,1,0.562,"no"
"35",787937058,"male",58,"graduate","married","80K-120K",0,"Blue",49,6,2,2,12555,1696,10859,0.519,1291,24,0.714,0.135,"no"
"36",715318008,"female",55,"college","single","<40K",1,"Blue",36,4,2,1,3520,1914,1606,0.51,1407,43,0.483,0.544,"no"
"37",713962233,"female",55,"graduate","married","<40K",3,"Blue",36,6,2,3,3035,2298,737,1.724,1877,37,1.176,0.757,"no"
"38",785432733,"female",42,"highschool","married","<40K",4,"Gold",36,2,3,3,15433,0,15433,0.865,966,22,1.2,0,"no"
"39",715190283,"female",57,"graduate","unknown","40K-60K",1,"Blue",49,3,3,2,3672,886,2786,1.32,1464,28,0.556,0.241,"no"
"40",708300483,"female",66,"doctorate","married","unknown",0,"Blue",56,5,4,3,7882,605,7277,1.052,704,16,0.143,0.077,"yes"
"41",827111283,"male",45,"graduate","single","80K-120K",3,"Blue",41,2,2,2,32426,578,31848,1.042,1109,28,0.474,0.018,"no"
"42",758551608,"male",51,"unknown","married","40K-60K",2,"Blue",44,4,1,0,6205,2204,4001,0.803,1347,28,0.556,0.355,"no"
"43",773146383,"female",50,"college","single","40K-60K",1,"Silver",43,3,2,3,17304,2517,14787,1.449,1756,33,1.2,0.145,"no"
"44",778493808,"male",49,"highschool","married","60K-80K",3,"Blue",37,5,2,1,3906,0,3906,1.214,1756,32,1,0,"no"
"45",720572508,"female",38,"graduate","single","unknown",4,"Blue",28,2,3,3,9830,2055,7775,0.977,1042,23,0.917,0.209,"no"
"46",712661433,"male",49,"uneducated","single","80K-120K",4,"Blue",30,3,2,3,34516,0,34516,1.621,1444,28,1.333,0,"no"
"47",789172683,"male",56,"doctorate","married","60K-80K",2,"Blue",45,6,2,0,2283,1430,853,2.316,1741,27,0.588,0.626,"no"
"48",738406533,"male",59,"doctorate","married","40K-60K",1,"Blue",52,3,2,2,2548,2020,528,2.357,1719,27,1.7,0.793,"no"
"49",799723908,"male",46,"highschool","married","80K-120K",3,"Blue",40,4,3,3,19458,1435,18023,0.787,1217,27,0.8,0.074,"no"
"50",771490833,"male",52,"college","single","80K-120K",1,"Blue",40,5,1,1,4745,1227,3518,0.624,1140,40,0.6,0.259,"no"
"51",720756708,"female",52,"unknown","married","<40K",3,"Blue",41,6,3,2,2622,1549,1073,1.321,1878,30,1.143,0.591,"no"
"52",779471883,"female",54,"graduate","married","<40K",1,"Blue",40,2,3,1,1438.3,808,630.3,0.997,705,19,0.9,0.562,"yes"
"53",711525033,"female",66,"highschool","married","<40K",0,"Blue",54,3,4,2,3171,2179,992,1.224,1946,38,1.923,0.687,"no"
"54",712813458,"male",49,"unknown","married",">120K",2,"Blue",36,4,2,0,19763,2517,17246,0.664,1414,35,0.25,0.127,"no"
"55",714374133,"male",56,"graduate","married",">120K",2,"Blue",36,1,3,3,15769,0,15769,1.041,602,15,0.364,0,"yes"
"56",717891558,"female",49,"graduate","unknown","<40K",4,"Blue",36,6,4,2,3298,2200,1098,0.678,1052,32,0.6,0.667,"no"
"57",716632758,"female",49,"graduate","single","<40K",3,"Blue",36,2,2,0,2802,2363,439,0.75,1295,40,0.6,0.843,"no"
"58",768563658,"male",56,"uneducated","married","40K-60K",2,"Blue",50,4,2,3,4458,1880,2578,1.107,1424,29,1.417,0.422,"no"
"59",711427458,"female",44,"graduate","married","unknown",5,"Blue",35,4,1,2,6273,978,5295,2.275,1359,25,1.083,0.156,"no"
"60",714091983,"male",42,"highschool","single","60K-80K",2,"Blue",34,4,4,3,3336,1753,1583,0.69,1168,27,1.25,0.525,"no"
"61",787584108,"male",55,"unknown","married","80K-120K",3,"Blue",47,4,2,3,3436,2016,1420,0.901,1097,33,0.833,0.587,"no"
"62",712030833,"male",48,"graduate","married","60K-80K",2,"Silver",35,2,4,4,34516,0,34516,0.763,691,15,0.5,0,"yes"
"63",711481533,"male",39,"highschool","divorced","60K-80K",1,"Blue",33,5,3,3,5926,1251,4675,0.944,1316,28,1.154,0.211,"no"
"64",710082708,"male",44,"post-graduate","single",">120K",4,"Blue",32,2,4,2,23957,2102,21855,0.997,1276,26,0.733,0.088,"no"
"65",708155733,"male",53,"highschool","single",">120K",2,"Blue",44,4,2,2,14734,1634,13100,0.989,1289,23,0.917,0.111,"no"
"66",788979258,"male",51,"uneducated","single","80K-120K",4,"Silver",38,4,1,4,34516,1515,33001,0.592,1293,32,0.6,0.044,"no"
"67",807986133,"male",57,"college","married","60K-80K",2,"Blue",52,5,3,3,6584,1817,4767,0.62,1353,35,0.667,0.276,"no"
"68",788730933,"female",44,"uneducated","single","<40K",2,"Blue",20,6,3,3,2084,1468,616,1.004,1132,28,0.556,0.704,"no"
"69",711314058,"male",49,"graduate","married","60K-80K",2,"Blue",32,2,2,2,1687,1107,580,1.715,1670,17,2.4,0.656,"no"
"70",717975333,"male",50,"doctorate","married","80K-120K",2,"Blue",38,6,2,2,25300,1330,23970,1.072,837,15,2,0.053,"no"
"71",715971108,"male",51,"graduate","single",">120K",4,"Blue",42,3,2,3,34516,1763,32753,1.266,1550,41,1.05,0.051,"no"
"72",720096558,"female",55,"graduate","married","<40K",2,"Blue",42,5,3,3,2216,1034,1182,0.758,1540,36,0.286,0.467,"no"
"73",719580033,"male",54,"graduate","unknown","60K-80K",1,"Blue",43,4,2,3,2910,2030,880,0.769,1256,21,0.4,0.698,"no"
"74",820582308,"male",42,"uneducated","married","80K-120K",5,"Blue",37,6,2,2,22913,1528,21385,0.414,1394,35,0.522,0.067,"no"
"75",789973308,"male",44,"college","single","60K-80K",1,"Blue",35,3,3,3,24312,1932,22380,1.312,1341,24,1.182,0.079,"no"
"76",712876233,"male",53,"graduate","single","80K-120K",2,"Blue",36,5,3,2,5272,1515,3757,0.857,1289,33,0.435,0.287,"no"
"77",804595158,"female",44,"graduate","single","<40K",4,"Blue",36,6,4,2,7000,2517,4483,0.475,1112,23,1.875,0.36,"no"
"78",714826758,"female",37,"uneducated","single","<40K",3,"Blue",29,4,4,2,7038,1801,5237,0.751,2339,57,0.966,0.256,"no"
"79",779058108,"male",49,"graduate","divorced","60K-80K",3,"Blue",30,6,1,2,2536,1823,713,0.703,1468,23,0.353,0.719,"no"
"80",710790258,"male",47,"graduate","married","80K-120K",2,"Blue",38,6,3,2,28904,1899,27005,0.85,1334,35,0.4,0.066,"no"
"81",715623483,"male",47,"graduate","married","60K-80K",3,"Blue",37,4,4,0,8567,1695,6872,1.242,1457,41,1.412,0.198,"no"
"82",715156383,"male",44,"unknown","unknown",">120K",1,"Blue",36,6,2,2,34516,1533,32983,0.924,1603,29,0.526,0.044,"no"
"83",711013983,"female",55,"unknown","married","40K-60K",4,"Blue",45,2,4,3,2158,0,2158,0.585,615,12,0.714,0,"yes"
"84",755420433,"female",59,"graduate","married","unknown",1,"Blue",52,2,3,3,10133,1417,8716,0.383,1068,20,0.818,0.14,"no"
"85",794543958,"male",53,"graduate","divorced","80K-120K",1,"Blue",35,5,4,2,34516,1219,33297,1.129,1590,27,2,0.035,"no"
"86",716396358,"male",52,"graduate","married","60K-80K",2,"Blue",47,5,3,0,3085,1910,1175,0.921,1531,35,0.667,0.619,"no"
"87",715398033,"male",53,"highschool","single",">120K",2,"Blue",35,4,2,1,19040,2056,16984,0.607,1212,31,0.722,0.108,"no"
"88",711743883,"female",43,"uneducated","single","<40K",3,"Blue",35,5,2,3,4026,0,4026,0.483,1237,32,0.6,0,"no"
"89",719720058,"male",44,"highschool","single","60K-80K",3,"Blue",31,4,3,1,12756,837,11919,1.932,1413,14,1.8,0.066,"no"
"90",778992108,"male",57,"unknown","married",">120K",2,"Blue",45,5,3,3,5266,0,5266,1.702,1516,29,1.636,0,"no"
"91",717539808,"female",51,"highschool","single","<40K",2,"Blue",36,3,2,2,9930,0,9930,0.731,1276,21,1.333,0,"no"
"92",714070758,"male",49,"highschool","single","80K-120K",4,"Blue",38,4,3,0,31302,1953,29349,0.875,1564,35,2.182,0.062,"no"
"93",714107958,"male",45,"graduate","single","40K-60K",1,"Blue",36,4,4,3,6576,0,6576,0.579,1465,34,0.619,0,"no"
"94",789140283,"male",53,"graduate","single","80K-120K",0,"Blue",42,5,4,1,2664,2037,627,0.85,1286,29,0.933,0.765,"no"
"95",715550508,"female",45,"unknown","married","unknown",3,"Blue",28,5,1,2,2535,2440,95,1.705,1312,20,1.222,0.963,"no"
"96",719712633,"male",64,"graduate","married","<40K",1,"Blue",52,6,4,3,1709,895,814,1.656,1673,32,0.882,0.524,"no"
"97",772629333,"male",45,"graduate","married","40K-60K",3,"Blue",35,5,4,2,3454,1200,2254,0.597,1313,30,0.304,0.347,"no"
"98",720336708,"male",53,"doctorate","married","40K-60K",3,"Blue",35,5,3,2,3789,1706,2083,1.047,1609,42,0.68,0.45,"no"
"99",802013583,"male",56,"college","married",">120K",3,"Blue",50,3,2,0,9689,2250,7439,0.576,1158,19,0.727,0.232,"no"
"100",711887583,"male",47,"unknown","married","80K-120K",2,"Blue",37,2,3,3,5449,1628,3821,0.696,836,18,0.385,0.299,"yes"
"101",714778833,"female",49,"college","single","unknown",3,"Blue",43,4,4,0,23032,1960,21072,0.619,1289,22,1,0.085,"no"
"102",713843283,"female",41,"unknown","married","unknown",3,"Silver",34,5,3,3,34516,2053,32463,1.034,1487,26,0.733,0.059,"no"
"103",779155158,"male",53,"graduate","married",">120K",3,"Blue",34,6,2,2,2940,1264,1676,0.562,1259,33,0.5,0.43,"no"
"104",721091583,"female",44,"graduate","single","<40K",2,"Blue",32,3,3,3,3031,1879,1152,0.788,1298,15,1.5,0.62,"no"
"105",713572683,"male",44,"highschool","unknown","60K-80K",3,"Blue",25,3,3,0,1862,0,1862,0.883,1226,34,0.789,0,"no"
"106",716657058,"female",43,"post-graduate","married","<40K",4,"Blue",33,2,3,3,8358,926,7432,0.762,1566,37,0.542,0.111,"no"
"107",779509983,"male",53,"post-graduate","single",">120K",2,"Blue",36,6,1,2,34516,931,33585,0.828,1022,21,1.1,0.027,"no"
"108",717929133,"male",44,"uneducated","married","60K-80K",1,"Blue",36,5,2,3,14450,2440,12010,1.283,1235,30,0.667,0.169,"no"
"109",808284783,"female",62,"unknown","married","<40K",1,"Blue",56,6,0,0,1438.3,0,1438.3,0.813,1951,44,1.095,0,"no"
"110",708476808,"male",54,"unknown","divorced",">120K",4,"Blue",36,6,3,2,33791,1960,31831,0.618,1047,31,0.824,0.058,"no"
"111",710916408,"male",57,"graduate","married","60K-80K",4,"Blue",39,4,3,0,8466,1886,6580,0.56,1342,32,0.391,0.223,"no"
"112",708492558,"male",42,"unknown","married","60K-80K",3,"Blue",36,5,3,3,15088,865,14223,0.939,1107,21,1.625,0.057,"no"
"113",799825758,"male",42,"highschool","divorced","60K-80K",4,"Blue",36,5,1,2,3263,1674,1589,0.588,1251,35,0.346,0.513,"no"
"114",718619883,"female",54,"uneducated","married","<40K",0,"Blue",36,2,2,2,1494,706,788,1.674,1305,24,3,0.473,"no"
"115",711844758,"male",48,"graduate","single","80K-120K",3,"Blue",35,6,1,0,13551,1294,12257,0.791,1388,37,1.056,0.095,"no"
"116",714798783,"male",49,"graduate","single","80K-120K",1,"Blue",36,6,2,2,18886,895,17991,1.826,1235,18,1.571,0.047,"no"
"117",826762908,"male",52,"highschool","unknown","80K-120K",3,"Blue",48,3,2,0,11976,1273,10703,1.024,2089,36,1.118,0.106,"no"
"118",771894558,"male",50,"highschool","single","80K-120K",3,"Blue",39,4,1,4,9964,1559,8405,1.873,1626,25,0.786,0.156,"no"
"119",721074183,"male",49,"doctorate","married","60K-80K",1,"Blue",36,4,6,3,24159,1196,22963,0.712,1111,24,1,0.05,"no"
"120",715259583,"female",53,"highschool","married","<40K",2,"Blue",44,3,2,3,5362,1901,3461,0.816,1553,38,1,0.355,"no"
"121",718414008,"male",50,"graduate","single",">120K",2,"Blue",36,3,2,2,34516,1023,33493,1.004,1064,13,0.625,0.03,"no"
"122",719666283,"female",55,"doctorate","married","<40K",1,"Blue",36,4,1,0,3174,1951,1223,0.766,1243,29,0.611,0.615,"no"
"123",714877233,"male",53,"highschool","married","80K-120K",1,"Blue",47,3,2,2,12262,1836,10426,1.584,1659,38,1.533,0.15,"no"
"124",785387883,"female",47,"highschool","single","40K-60K",3,"Blue",41,4,3,3,3788,1540,2248,0.566,1594,47,0.382,0.407,"no"
"125",771075258,"male",55,"college","single",">120K",2,"Silver",42,2,3,2,34516,1527,32989,0.526,1268,42,0.355,0.044,"no"
"126",711318033,"male",47,"graduate","single","60K-80K",3,"Blue",36,4,2,2,2926,0,2926,0.676,1304,24,0.846,0,"no"
"127",783554958,"male",58,"graduate","single",">120K",4,"Blue",52,6,1,0,32090,0,32090,0.567,1368,30,0.364,0,"no"
"128",720201033,"male",53,"graduate","married","80K-120K",2,"Blue",41,3,3,2,11669,2227,9442,0.622,720,23,0.353,0.191,"yes"
"129",718039683,"male",52,"highschool","single","40K-60K",2,"Blue",45,3,1,2,13532,1300,12232,0.846,1521,29,1.417,0.096,"no"
"130",710806083,"female",50,"uneducated","unknown","<40K",1,"Silver",36,4,2,2,11888,2090,9798,0.7,1137,30,0.765,0.176,"no"
"131",714752208,"female",42,"graduate","married","<40K",1,"Blue",36,5,1,2,2393,1985,408,0.788,978,16,0.778,0.83,"no"
"132",822063408,"male",43,"unknown","married","40K-60K",4,"Blue",39,5,1,2,6111,2517,3594,0.632,1221,16,2.2,0.412,"no"
"133",714490308,"male",57,"graduate","married","80K-120K",4,"Blue",46,3,2,3,19270,1662,17608,1.186,1565,28,1.545,0.086,"no"
"134",713356833,"male",52,"graduate","married","80K-120K",1,"Blue",43,3,1,4,3710,2517,1193,1.541,1578,34,0.7,0.678,"no"
"135",711402333,"male",47,"doctorate","single","<40K",2,"Blue",37,2,1,3,3235,797,2438,0.541,1493,32,1,0.246,"no"
"136",708296883,"female",44,"graduate","single","40K-60K",3,"Blue",38,3,1,0,11749,788,10961,0.688,1178,27,0.929,0.067,"no"
"137",719154483,"male",53,"highschool","divorced","60K-80K",2,"Blue",36,5,3,2,7753,2100,5653,0.839,991,26,0.733,0.271,"no"
"138",717721458,"male",45,"college","divorced","60K-80K",4,"Blue",40,5,1,0,10408,1186,9222,1.689,2560,42,1.211,0.114,"no"
"139",711112683,"female",63,"college","married","unknown",1,"Blue",36,6,2,3,3967,1568,2399,1.236,1657,29,1.231,0.395,"no"
"140",715674483,"female",39,"post-graduate","single","<40K",2,"Blue",27,4,2,2,6205,2517,3688,0.939,1204,19,0.727,0.406,"no"
"141",789322833,"female",48,"highschool","married","<40K",5,"Blue",38,1,3,3,8025,0,8025,0.654,673,18,0.8,0,"yes"
"142",789968058,"male",51,"unknown","single",">120K",1,"Blue",42,6,2,3,9036,2327,6709,0.649,1131,18,0.636,0.258,"no"
"143",709919283,"male",54,"graduate","married","80K-120K",4,"Blue",34,2,3,2,14926,2517,12409,1.996,1576,25,1.5,0.169,"no"
"144",718744008,"female",59,"graduate","single","<40K",1,"Blue",36,3,2,3,6335,1128,5207,0.397,1217,20,0.667,0.178,"no"
"145",767712558,"male",59,"college","single","60K-80K",1,"Blue",53,2,3,3,14979,0,14979,0.71,530,10,1,0,"yes"
"146",712950783,"female",48,"uneducated","married","<40K",4,"Blue",38,3,2,3,2732,0,2732,0.76,739,16,0.455,0,"yes"
"147",716104983,"female",41,"graduate","single","<40K",2,"Blue",32,6,3,2,2250,2117,133,1.162,1617,31,2.875,0.941,"no"
"148",818839983,"male",55,"graduate","married",">120K",2,"Blue",50,3,2,0,10916,1536,9380,1.317,1592,34,1,0.141,"no"
"149",772288758,"female",47,"graduate","married","unknown",4,"Blue",36,4,1,3,5349,1228,4121,0.728,1343,30,1.308,0.23,"no"
"150",712350858,"male",41,"highschool","married","80K-120K",2,"Blue",24,4,1,3,9366,1104,8262,0.572,1303,39,0.625,0.118,"no"
"151",711009708,"male",40,"highschool","single","80K-120K",3,"Blue",28,5,1,0,21617,0,21617,1.047,1351,22,0.467,0,"no"
"152",712720158,"male",68,"graduate","married","unknown",1,"Blue",56,5,2,3,13860,1652,12208,1.255,1910,32,1.909,0.119,"no"
"153",712215258,"female",50,"graduate","single","40K-60K",1,"Silver",31,2,2,3,18386,0,18386,0.868,1298,22,0.571,0,"no"
"154",773827008,"male",47,"uneducated","single","60K-80K",4,"Blue",41,6,2,2,2405,1540,865,0.469,1087,29,1.231,0.64,"no"
"155",795232683,"female",53,"college","married","<40K",1,"Blue",47,4,2,3,2154,930,1224,2.121,1439,26,1.364,0.432,"no"
"156",713786508,"female",42,"unknown","married","40K-60K",5,"Blue",36,3,3,3,2038,0,2038,0.786,1238,28,0.75,0,"no"
"157",713539833,"female",48,"highschool","single","40K-60K",4,"Blue",38,6,1,3,8135,0,8135,1.373,1716,29,0.812,0,"no"
"158",712454058,"male",49,"doctorate","married",">120K",1,"Blue",38,6,1,3,9364,618,8746,0.554,1099,27,0.8,0.066,"no"
"159",718759833,"female",44,"uneducated","married","unknown",2,"Silver",35,4,3,2,32643,0,32643,1.3,1058,24,2.429,0,"no"
"160",718803333,"female",43,"graduate","divorced","<40K",4,"Blue",34,2,3,1,3195,1954,1241,0.971,1285,29,0.706,0.612,"no"
"161",720253908,"male",56,"highschool","married","80K-120K",0,"Blue",43,5,2,1,2852,1024,1828,1.009,1651,28,1,0.359,"no"
"162",714133158,"female",59,"college","single","unknown",1,"Blue",36,2,3,3,4224,1305,2919,0.852,1152,31,0.824,0.309,"no"
"163",713187033,"male",46,"uneducated","married","60K-80K",1,"Blue",36,3,2,2,20459,2071,18388,1.248,1767,38,2.167,0.101,"no"
"164",714791208,"female",47,"unknown","divorced","<40K",4,"Blue",41,6,5,3,3482,2114,1368,0.508,1039,24,0.263,0.607,"no"
"165",772426383,"female",50,"uneducated","married","40K-60K",4,"Blue",40,5,2,3,3065,1570,1495,1.077,1130,28,1.333,0.512,"no"
"166",710975883,"female",51,"uneducated","married","<40K",3,"Blue",43,3,1,2,2185,1761,424,0.682,1645,30,0.429,0.806,"no"
"167",714264408,"female",47,"uneducated","married","<40K",3,"Blue",36,4,1,0,1611,746,865,0.993,1413,29,0.706,0.463,"no"
"168",715827858,"female",58,"uneducated","married","<40K",4,"Blue",47,3,3,3,2822,2173,649,1.456,1218,23,2.286,0.77,"no"
"169",713741358,"male",46,"graduate","single","80K-120K",5,"Blue",33,6,3,3,32975,2517,30458,0.658,597,17,0.7,0.076,"yes"
"170",709531908,"male",53,"highschool","married","60K-80K",3,"Blue",47,5,2,2,1438.3,0,1438.3,0.776,2184,53,0.828,0,"no"
"171",716493408,"female",45,"uneducated","divorced","unknown",4,"Blue",36,4,3,3,15875,1719,14156,0.86,1592,37,1.467,0.108,"no"
"172",714141108,"female",52,"highschool","married","<40K",1,"Blue",45,6,3,3,6703,893,5810,0.567,1388,28,0.75,0.133,"no"
"173",708953883,"male",53,"unknown","married","80K-120K",2,"Blue",36,2,2,1,3212,0,3212,0.713,757,20,0.25,0,"yes"
"174",712608783,"male",50,"highschool","married","80K-120K",2,"Silver",45,3,1,3,34516,1260,33256,0.588,1504,34,0.789,0.037,"no"
"175",820353558,"female",41,"highschool","married","40K-60K",3,"Blue",36,4,1,2,9797,1434,8363,0.644,1503,34,0.478,0.146,"no"
"176",714964758,"female",45,"graduate","divorced","40K-60K",5,"Blue",36,5,2,2,10400,1777,8623,0.791,1105,28,0.867,0.171,"no"
"177",716264358,"male",53,"uneducated","married","80K-120K",3,"Blue",42,2,1,2,26792,1836,24956,1.432,2398,47,0.88,0.069,"no"
"178",717296808,"female",67,"graduate","married","<40K",1,"Blue",56,4,3,2,3006,2517,489,2.053,1661,32,1,0.837,"no"
"179",712977183,"female",57,"uneducated","single","40K-60K",2,"Silver",36,6,3,0,19482,1072,18410,0.706,1421,22,1.444,0.055,"no"
"180",710829108,"female",59,"uneducated","married","40K-60K",1,"Blue",36,4,2,3,3356,985,2371,0.35,999,28,0.556,0.294,"no"
"181",779562633,"male",45,"uneducated","married","40K-60K",2,"Blue",34,3,2,1,5771,2248,3523,1.791,1387,18,0.8,0.39,"no"
"182",715315833,"male",51,"graduate","married","80K-120K",3,"Blue",36,6,2,3,11106,2107,8999,0.948,1243,24,1,0.19,"no"
"183",815500983,"female",59,"uneducated","married","<40K",1,"Blue",54,5,3,0,2890,2001,889,1.334,1860,36,1,0.692,"no"
"184",719360583,"male",53,"graduate","married","60K-80K",1,"Blue",45,6,2,2,3380,1701,1679,0.747,1502,25,1.273,0.503,"no"
"185",709701558,"male",47,"graduate","married","60K-80K",3,"Blue",36,2,1,2,21331,1251,20080,0.949,1460,50,1.083,0.059,"no"
"186",721148358,"female",49,"uneducated","single","unknown",3,"Blue",38,6,2,1,12860,0,12860,0.646,1348,27,0.286,0,"no"
"187",779862408,"male",49,"post-graduate","single","80K-120K",3,"Blue",33,3,1,0,6278,462,5816,1.161,1087,33,0.941,0.074,"no"
"188",812627208,"female",60,"college","single","<40K",0,"Blue",55,5,1,3,1438.3,738,700.3,0.782,1226,33,0.571,0.513,"no"
"189",711033408,"female",50,"highschool","married","<40K",2,"Blue",36,5,1,2,9355,1626,7729,0.701,1230,28,0.867,0.174,"no"
"190",779956608,"female",41,"post-graduate","married","unknown",2,"Blue",31,6,1,3,20758,0,20758,0.688,1555,32,0.684,0,"no"
"191",780376683,"male",57,"graduate","married","80K-120K",1,"Blue",47,5,3,1,14612,1976,12636,1.768,1827,24,3,0.135,"no"
"192",717912483,"male",43,"graduate","unknown","80K-120K",4,"Blue",27,5,2,0,27259,0,27259,0.731,1376,35,0.591,0,"no"
"193",714454758,"female",57,"graduate","married","<40K",3,"Blue",47,4,2,3,6347,1594,4753,0.896,1771,37,0.762,0.251,"no"
"194",780466533,"male",54,"doctorate","married",">120K",3,"Blue",41,3,3,0,21592,1676,19916,1.097,1873,52,0.529,0.078,"no"
"195",715735233,"female",51,"post-graduate","married","<40K",5,"Blue",44,5,1,1,3449,1598,1851,0.971,1679,42,0.556,0.463,"no"
"196",720476733,"female",47,"highschool","married","<40K",3,"Blue",34,2,1,2,6028,799,5229,0.819,1002,22,0.571,0.133,"no"
"197",715872333,"male",41,"highschool","unknown",">120K",0,"Blue",36,3,2,3,18214,1998,16216,0.829,1344,21,1.1,0.11,"no"
"198",712375758,"male",53,"uneducated","married","80K-120K",3,"Blue",43,3,3,1,16393,1423,14970,1.642,1461,42,0.75,0.087,"no"
"199",708868233,"male",68,"highschool","married","<40K",0,"Blue",52,1,3,2,1438.3,900,538.3,0.743,760,21,0.615,0.626,"yes"
"200",718030083,"male",59,"college","married","60K-80K",1,"Blue",36,4,1,2,7871,1687,6184,1.242,1428,22,1.444,0.214,"no"
